2025-12-29 08:45:28,989 INFO: [cfg] BASE_MODEL=/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28
2025-12-29 08:45:28,989 INFO: [cfg] train_file=data/train/sft_train.jsonl
2025-12-29 08:45:28,989 INFO: [cfg] eval_file=data/train/sft_dev.jsonl
2025-12-29 08:45:28,989 INFO: [cfg] out_dir=outputs/envgpt_qwen2p5_7b_lora
2025-12-29 08:45:28,989 INFO: [cfg] max_seq_len=2048 lr=0.0002 epochs=1.0 bsz=1 gas=8
2025-12-29 08:45:29,137 INFO: [cfg] cuda available, TF32 enabled
2025-12-29 08:45:29,138 INFO: [init] loading tokenizer...
2025-12-29 08:45:29,402 INFO: [cfg] torch_dtype=torch.bfloat16
2025-12-29 08:45:29,402 INFO: [init] loading model...
2025-12-29 08:45:29,559 INFO: We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
2025-12-29 08:45:33,144 INFO: [data] loading dataset jsonl...
2025-12-29 08:45:34,225 INFO: [data] train=43750 eval=911
2025-12-29 08:45:34,225 INFO: [data] building text field (no disk cache)...
2025-12-29 08:45:38,585 INFO: [data] after filter: train=43750 eval=911
2025-12-29 08:45:38,638 INFO: [train] TrainingArguments created.
2025-12-29 08:46:42,468 INFO: [train] trainer built, starting training...
{'loss': 0.7936, 'grad_norm': 0.23812931776046753, 'learning_rate': 0.0001831634109713982, 'entropy': 0.813156720995903, 'num_tokens': 7442490.0, 'mean_token_accuracy': 0.8152843900024891, 'epoch': 0.21}
{'loss': 0.8098, 'grad_norm': 0.23339274525642395, 'learning_rate': 0.00018249974745983023, 'entropy': 0.8231799222528935, 'num_tokens': 7569362.0, 'mean_token_accuracy': 0.8124146796762943, 'epoch': 0.22}
{'loss': 0.8046, 'grad_norm': 0.2674066424369812, 'learning_rate': 0.00018182450683595512, 'entropy': 0.8201857022941113, 'num_tokens': 7697430.0, 'mean_token_accuracy': 0.8143796421587467, 'epoch': 0.22}
{'loss': 0.7924, 'grad_norm': 0.22809605300426483, 'learning_rate': 0.00018113778385565733, 'entropy': 0.8016052715480327, 'num_tokens': 7829192.0, 'mean_token_accuracy': 0.8159281000494957, 'epoch': 0.22}
{'loss': 0.8065, 'grad_norm': 0.2349175363779068, 'learning_rate': 0.00018043967488612955, 'entropy': 0.8238424951210618, 'num_tokens': 7958294.0, 'mean_token_accuracy': 0.8134475141763687, 'epoch': 0.23}
{'loss': 0.7939, 'grad_norm': 0.26548200845718384, 'learning_rate': 0.00017973027789234985, 'entropy': 0.8067734643816948, 'num_tokens': 8088202.0, 'mean_token_accuracy': 0.8161051791161299, 'epoch': 0.23}
{'loss': 0.8134, 'grad_norm': 0.21442952752113342, 'learning_rate': 0.00017900969242333402, 'entropy': 0.825525583140552, 'num_tokens': 8213094.0, 'mean_token_accuracy': 0.8126843471080065, 'epoch': 0.23}
{'loss': 0.7945, 'grad_norm': 0.22725050151348114, 'learning_rate': 0.00017827801959816625, 'entropy': 0.8133640561252833, 'num_tokens': 8341879.0, 'mean_token_accuracy': 0.8148891314864158, 'epoch': 0.24}
{'loss': 0.7747, 'grad_norm': 0.23441897332668304, 'learning_rate': 0.0001775353620918088, 'entropy': 0.7854242723435163, 'num_tokens': 8474648.0, 'mean_token_accuracy': 0.8181660376489163, 'epoch': 0.24}
{'loss': 0.8247, 'grad_norm': 0.22954483330249786, 'learning_rate': 0.00017678182412069423, 'entropy': 0.837824429012835, 'num_tokens': 8601051.0, 'mean_token_accuracy': 0.810901714488864, 'epoch': 0.25}
{'loss': 0.8084, 'grad_norm': 0.21875663101673126, 'learning_rate': 0.0001760175114281003, 'entropy': 0.8317458171397447, 'num_tokens': 8727399.0, 'mean_token_accuracy': 0.8141250979155302, 'epoch': 0.25}
{'loss': 0.8363, 'grad_norm': 0.19977141916751862, 'learning_rate': 0.00017524253126931154, 'entropy': 0.8491925578564405, 'num_tokens': 8855612.0, 'mean_token_accuracy': 0.8085734393447638, 'epoch': 0.25}
{'loss': 0.7989, 'grad_norm': 0.23732522130012512, 'learning_rate': 0.0001744569923965679, 'entropy': 0.8048495849594474, 'num_tokens': 8984358.0, 'mean_token_accuracy': 0.8145883530378342, 'epoch': 0.26}
{'loss': 0.7883, 'grad_norm': 0.2565971910953522, 'learning_rate': 0.00017366100504380378, 'entropy': 0.8142828928306699, 'num_tokens': 9111316.0, 'mean_token_accuracy': 0.8173018123954534, 'epoch': 0.26}
{'loss': 0.7945, 'grad_norm': 0.23329563438892365, 'learning_rate': 0.00017285468091117904, 'entropy': 0.806732689216733, 'num_tokens': 9238217.0, 'mean_token_accuracy': 0.8158655900508165, 'epoch': 0.26}
{'loss': 0.8008, 'grad_norm': 0.24642105400562286, 'learning_rate': 0.00017203813314940416, 'entropy': 0.8170364757999777, 'num_tokens': 9368563.0, 'mean_token_accuracy': 0.815829747542739, 'epoch': 0.27}
{'loss': 0.7932, 'grad_norm': 0.24158045649528503, 'learning_rate': 0.00017121147634386192, 'entropy': 0.8039623318240047, 'num_tokens': 9498437.0, 'mean_token_accuracy': 0.8149399686604738, 'epoch': 0.27}
{'loss': 0.7983, 'grad_norm': 0.2404184341430664, 'learning_rate': 0.00017037482649852773, 'entropy': 0.8157447332516312, 'num_tokens': 9626134.0, 'mean_token_accuracy': 0.8148576632142067, 'epoch': 0.27}
{'eval_loss': 0.8210902214050293, 'eval_runtime': 79.5739, 'eval_samples_per_second': 11.448, 'eval_steps_per_second': 11.448, 'eval_entropy': 0.8134038352809282, 'eval_num_tokens': 9626134.0, 'eval_mean_token_accuracy': 0.8135370692620555, 'epoch': 0.27}
{'loss': 0.7994, 'grad_norm': 0.25361722707748413, 'learning_rate': 0.000169528301019691, 'entropy': 0.8236464112997055, 'num_tokens': 9752091.0, 'mean_token_accuracy': 0.8141027737408877, 'epoch': 0.28}
{'loss': 0.7702, 'grad_norm': 0.2702137529850006, 'learning_rate': 0.00016867201869947938, 'entropy': 0.7834195785224438, 'num_tokens': 9879563.0, 'mean_token_accuracy': 0.8195987213402987, 'epoch': 0.28}
{'loss': 0.7797, 'grad_norm': 0.2461264431476593, 'learning_rate': 0.0001678060996991891, 'entropy': 0.7962367866188288, 'num_tokens': 10007969.0, 'mean_token_accuracy': 0.8185919981449843, 'epoch': 0.29}
{'loss': 0.7979, 'grad_norm': 0.26368603110313416, 'learning_rate': 0.00016693066553242258, 'entropy': 0.8104404816403985, 'num_tokens': 10135443.0, 'mean_token_accuracy': 0.815750528499484, 'epoch': 0.29}
{'loss': 0.797, 'grad_norm': 0.269986629486084, 'learning_rate': 0.00016604583904803672, 'entropy': 0.8123992465436458, 'num_tokens': 10263836.0, 'mean_token_accuracy': 0.8164526935666799, 'epoch': 0.29}
{'loss': 0.8242, 'grad_norm': 0.2703411281108856, 'learning_rate': 0.00016515174441290344, 'entropy': 0.8409924313426018, 'num_tokens': 10388234.0, 'mean_token_accuracy': 0.80975108332932, 'epoch': 0.3}
{'loss': 0.8041, 'grad_norm': 0.25757282972335815, 'learning_rate': 0.00016424850709448568, 'entropy': 0.8209440860897302, 'num_tokens': 10514454.0, 'mean_token_accuracy': 0.8144829113036394, 'epoch': 0.3}
{'loss': 0.7777, 'grad_norm': 0.236133873462677, 'learning_rate': 0.0001633362538432306, 'entropy': 0.7916571225970983, 'num_tokens': 10641330.0, 'mean_token_accuracy': 0.8182672638446092, 'epoch': 0.3}
{'loss': 0.7673, 'grad_norm': 0.25118908286094666, 'learning_rate': 0.00016241511267478255, 'entropy': 0.7843609657138586, 'num_tokens': 10771117.0, 'mean_token_accuracy': 0.8194225694984197, 'epoch': 0.31}
{'loss': 0.7845, 'grad_norm': 0.22130343317985535, 'learning_rate': 0.00016148521285201927, 'entropy': 0.7985622361302376, 'num_tokens': 10899582.0, 'mean_token_accuracy': 0.8175543785095215, 'epoch': 0.31}
{'loss': 0.7915, 'grad_norm': 0.2228129804134369, 'learning_rate': 0.00016054668486691203, 'entropy': 0.8092257149517537, 'num_tokens': 11026144.0, 'mean_token_accuracy': 0.8134604845196008, 'epoch': 0.31}
{'loss': 0.7986, 'grad_norm': 0.2350252866744995, 'learning_rate': 0.0001595996604222142, 'entropy': 0.8076929269358516, 'num_tokens': 11153703.0, 'mean_token_accuracy': 0.8153015546500683, 'epoch': 0.32}
{'loss': 0.7893, 'grad_norm': 0.25495433807373047, 'learning_rate': 0.0001586442724129792, 'entropy': 0.8090575842186809, 'num_tokens': 11280420.0, 'mean_token_accuracy': 0.816435218974948, 'epoch': 0.32}
{'loss': 0.8019, 'grad_norm': 0.3142758011817932, 'learning_rate': 0.00015768065490791183, 'entropy': 0.8156250398606062, 'num_tokens': 11408066.0, 'mean_token_accuracy': 0.8124900285154582, 'epoch': 0.33}
{'loss': 0.7683, 'grad_norm': 0.24326948821544647, 'learning_rate': 0.00015670894313055418, 'entropy': 0.7883360689505935, 'num_tokens': 11537568.0, 'mean_token_accuracy': 0.8198402754962444, 'epoch': 0.33}
{'loss': 0.787, 'grad_norm': 0.2587081789970398, 'learning_rate': 0.00015572927344031004, 'entropy': 0.8044851589947939, 'num_tokens': 11663958.0, 'mean_token_accuracy': 0.8155654858797788, 'epoch': 0.33}
{'loss': 0.7675, 'grad_norm': 0.23438338935375214, 'learning_rate': 0.0001547417833133097, 'entropy': 0.7831677403301001, 'num_tokens': 11795273.0, 'mean_token_accuracy': 0.8194280214607715, 'epoch': 0.34}
{'loss': 0.7978, 'grad_norm': 0.2801048755645752, 'learning_rate': 0.00015374661132311793, 'entropy': 0.8123244948685169, 'num_tokens': 11922444.0, 'mean_token_accuracy': 0.8144097052514553, 'epoch': 0.34}
{'loss': 0.7735, 'grad_norm': 0.2805314362049103, 'learning_rate': 0.00015274389712128828, 'entropy': 0.7888458885252476, 'num_tokens': 12054000.0, 'mean_token_accuracy': 0.8177361465990544, 'epoch': 0.34}
{'loss': 0.823, 'grad_norm': 0.2717663645744324, 'learning_rate': 0.00015173378141776568, 'entropy': 0.8433396043255925, 'num_tokens': 12179107.0, 'mean_token_accuracy': 0.8091784790158272, 'epoch': 0.35}
{'loss': 0.7776, 'grad_norm': 0.23856842517852783, 'learning_rate': 0.00015071640596114096, 'entropy': 0.790579698048532, 'num_tokens': 12308024.0, 'mean_token_accuracy': 0.8183163415640593, 'epoch': 0.35}
{'loss': 0.7817, 'grad_norm': 0.26919451355934143, 'learning_rate': 0.00014969191351875923, 'entropy': 0.79166345205158, 'num_tokens': 12437354.0, 'mean_token_accuracy': 0.8189861670136451, 'epoch': 0.35}
{'loss': 0.7943, 'grad_norm': 0.2141873836517334, 'learning_rate': 0.00014866044785668563, 'entropy': 0.8091956701129674, 'num_tokens': 12564158.0, 'mean_token_accuracy': 0.8167921680957079, 'epoch': 0.36}
{'loss': 0.7851, 'grad_norm': 0.24009501934051514, 'learning_rate': 0.0001476221537195306, 'entropy': 0.8035400780849159, 'num_tokens': 12691234.0, 'mean_token_accuracy': 0.8175656825304032, 'epoch': 0.36}
{'loss': 0.7998, 'grad_norm': 0.2777424454689026, 'learning_rate': 0.00014657717681013815, 'entropy': 0.812778365239501, 'num_tokens': 12823630.0, 'mean_token_accuracy': 0.8128883047029376, 'epoch': 0.37}
{'eval_loss': 0.804050087928772, 'eval_runtime': 79.5815, 'eval_samples_per_second': 11.447, 'eval_steps_per_second': 11.447, 'eval_entropy': 0.8057733839285753, 'eval_num_tokens': 12823630.0, 'eval_mean_token_accuracy': 0.8164624893050293, 'epoch': 0.37}
